"Indikatorens navn";"Fylke nummer";"Fylke navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"40";"Telemark";"Eng-aktig sterkt endret fastmark";"2018-2024";4.33;"Yellow"
"ENCREC_005";"40";"Telemark";"Frisk lågurtedellauvskog";"2018-2024";9.94;"Yellow"
"ENCREC_005";"40";"Telemark";"Gammel fattig edellauvskog";"2018-2024";0.85;"Yellow"
"ENCREC_005";"40";"Telemark";"Hule eiker";"2018-2024";1.24;"Yellow"
"ENCREC_005";"40";"Telemark";"Middels kalkrik innsjø (Klar intermediær innsjø)";"2018-2024";0.35;"Yellow"
"ENCREC_005";"40";"Telemark";"Naturbeitemark";"2018-2024";6.71;"Orange"
"ENCREC_005";"40";"Telemark";"Parklandskap";"2018-2024";0.01;"Yellow"
"ENCREC_005";"42";"Agder";"Eng-aktig sterkt endret fastmark";"2018-2024";0.06;"Yellow"
"ENCREC_005";"42";"Agder";"Frisk lågurtedellauvskog";"2018-2024";0.03;"Yellow"
"ENCREC_005";"42";"Agder";"Frisk rik edellauvskog";"2018-2024";0.28;"Yellow"
"ENCREC_005";"42";"Agder";"Gammel fattig edellauvskog";"2018-2024";1.53;"Yellow"
"ENCREC_005";"42";"Agder";"Gammel furuskog med gamle trær";"2018-2024";0.52;"Yellow"
"ENCREC_005";"42";"Agder";"Hagemark";"2018-2024";0.21;"Yellow"
"ENCREC_005";"42";"Agder";"Hule eiker";"2018-2024";2.13;"Yellow"
"ENCREC_005";"42";"Agder";"Kystlynghei";"2018-2024";15.94;"Yellow"
"ENCREC_005";"42";"Agder";"Lågurteikeskog";"2018-2024";3.9;"Yellow"
"ENCREC_005";"42";"Agder";"Lågurtfuruskog";"2018-2024";0.52;"Yellow"
"ENCREC_005";"42";"Agder";"Naturbeitemark";"2018-2024";0.7;"Yellow"
"ENCREC_005";"42";"Agder";"Rik sump- og kildeskog";"2018-2024";0.16;"Yellow"
"ENCREC_005";"42";"Agder";"Rik svartorsumpskog";"2018-2024";3.69;"Yellow"
"ENCREC_005";"42";"Agder";"Semi-naturlig eng";"2018-2024";0.05;"Yellow"
"ENCREC_005";"42";"Agder";"Slåttemark";"2018-2024";0.01;"Yellow"
"ENCREC_005";"42";"Agder";"Strandeng";"2018-2024";0.44;"Yellow"
"ENCREC_005";"42";"Agder";"Strandeng og strandsump";"2018-2024";0.42;"Yellow"
"ENCREC_005";"46";"Vestland";"Boreal hei";"2018-2024";2.27;"Yellow"
"ENCREC_005";"46";"Vestland";"Elveslette";"2018-2024";0.09;"Yellow"
"ENCREC_005";"46";"Vestland";"Eng-aktig sterkt endret fastmark";"2018-2024";0.58;"Yellow"
"ENCREC_005";"46";"Vestland";"Flomskogsmark";"2018-2024";0.25;"Yellow"
"ENCREC_005";"46";"Vestland";"Frisk lågurtedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"46";"Vestland";"Gammel barskog";"2018-2024";0.6;"Yellow"
"ENCREC_005";"46";"Vestland";"Gammel fattig edellauvskog";"2018-2024";0.06;"Yellow"
"ENCREC_005";"46";"Vestland";"Hule eiker";"2018-2024";0.75;"Yellow"
"ENCREC_005";"46";"Vestland";"Kalkfattig og intermediær fjellhei, leside og tundra";"2018-2024";15.21;"Yellow"
"ENCREC_005";"46";"Vestland";"Kystlynghei";"2018-2024";79.22;"Yellow"
"ENCREC_005";"46";"Vestland";"Naturbeitemark";"2018-2024";17.19;"Yellow"
