"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCACC_001";"11";"1144";"Kvitsøy";"2020";0.57;3.25;"Yellow";"Yellow"
"ENCACC_001";"11";"1144";"Kvitsøy";"2021";0.41;3.66;"Yellow";"Yellow"
"ENCACC_001";"11";"1144";"Kvitsøy";"2022";68.37;72.03;"Yellow";"Yellow"
"ENCACC_001";"11";"1144";"Kvitsøy";"2023";6.43;78.46;"Green";"Yellow"
"ENCACC_001";"11";"1144";"Kvitsøy";"2024";0.21;78.67;"Yellow";"Yellow"
"ENCACC_001";"11";"1144";"Kvitsøy";"Endring 2018-2024";NA;78.67;"NA";"Yellow"
"ENCACC_001";"11";"1145";"Bokn";"2018";53.99;53.99;"Yellow";"Yellow"
"ENCACC_001";"11";"1145";"Bokn";"2019";21.26;75.25;"Yellow";"Yellow"
"ENCACC_001";"11";"1145";"Bokn";"2020";68;143.25;"Yellow";"Yellow"
"ENCACC_001";"11";"1145";"Bokn";"2021";27.79;171.04;"Yellow";"Yellow"
"ENCACC_001";"11";"1145";"Bokn";"2022";41.13;212.17;"Yellow";"Yellow"
"ENCACC_001";"11";"1145";"Bokn";"2023";126.34;338.51;"Green";"Yellow"
"ENCACC_001";"11";"1145";"Bokn";"2024";29.48;367.99;"Yellow";"Yellow"
"ENCACC_001";"11";"1145";"Bokn";"Endring 2018-2024";NA;314;"NA";"Yellow"
"ENCACC_001";"11";"1146";"Tysvær";"2018";197.02;197.02;"Yellow";"Yellow"
"ENCACC_001";"11";"1146";"Tysvær";"2019";290.35;487.37;"Yellow";"Yellow"
"ENCACC_001";"11";"1146";"Tysvær";"2020";410.03;897.4;"Yellow";"Yellow"
"ENCACC_001";"11";"1146";"Tysvær";"2021";326.65;1224.05;"Yellow";"Yellow"
"ENCACC_001";"11";"1146";"Tysvær";"2022";262.59;1486.64;"Yellow";"Yellow"
"ENCACC_001";"11";"1146";"Tysvær";"2023";274.1;1760.74;"Green";"Yellow"
