"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"32";"3205";"Lillestrøm";"Lågurtalm-lind-hasselskog";"2018-2024";0.24;"Yellow"
"ENCREC_005";"32";"3205";"Lillestrøm";"Ravinedal";"2018-2024";1.6;"Yellow"
"ENCREC_005";"32";"3205";"Lillestrøm";"Store gamle trær";"2018-2024";0.11;"Yellow"
"ENCREC_005";"32";"3207";"Nordre Follo";"Eng-aktig sterkt endret fastmark";"2018-2024";0.04;"Yellow"
"ENCREC_005";"32";"3207";"Nordre Follo";"Flomskogsmark";"2018-2024";0.61;"Yellow"
"ENCREC_005";"32";"3207";"Nordre Follo";"Gammel granskog med liggende død ved";"2018-2024";0.02;"Yellow"
"ENCREC_005";"32";"3207";"Nordre Follo";"Hagemark";"2018-2024";2.46;"Yellow"
"ENCREC_005";"32";"3207";"Nordre Follo";"Hule eiker";"2018-2024";0.24;"Yellow"
"ENCREC_005";"32";"3207";"Nordre Follo";"Lågurtfuruskog";"2018-2024";0.02;"Yellow"
"ENCREC_005";"32";"3207";"Nordre Follo";"Rik svartorsumpskog";"2018-2024";0.55;"Yellow"
"ENCREC_005";"32";"3207";"Nordre Follo";"Slåttemark";"2018-2024";0.48;"Yellow"
"ENCREC_005";"32";"3209";"Ullensaker";"Gammel høgstaudegråorskog";"2018-2024";0.17;"Yellow"
"ENCREC_005";"32";"3209";"Ullensaker";"Rik åpen sørlig jordvannsmyr";"2018-2024";0.49;"Yellow"
"ENCREC_005";"32";"3212";"Nesodden";"Hule eiker";"2018-2024";0.29;"Yellow"
"ENCREC_005";"32";"3212";"Nesodden";"Lågurtalm-lind-hasselskog";"2018-2024";0.31;"Yellow"
"ENCREC_005";"32";"3212";"Nesodden";"Lågurtedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"3212";"Nesodden";"Lågurteikeskog";"2018-2024";0.31;"Yellow"
"ENCREC_005";"32";"3212";"Nesodden";"Rik svartorsumpskog";"2018-2024";0.02;"Yellow"
"ENCREC_005";"32";"3214";"Frogn";"Hule eiker";"2018-2024";0.43;"Yellow"
"ENCREC_005";"32";"3214";"Frogn";"Høgstaude-edellauvskog";"2018-2024";0.02;"Yellow"
