"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Verdsatte naturtype";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCACC_002";"15";"1528";"Sykkylven";"Rik åpen jordvannsmyr i mellomboreal sone";"2018-2024";0.5;"Yellow"
"ENCACC_002";"15";"1528";"Sykkylven";"Rikmyr";"2018-2024";11.91;"Yellow"
"ENCACC_002";"15";"1528";"Sykkylven";"Semi-naturlig myr";"2018-2024";0.99;"Yellow"
"ENCACC_002";"15";"1528";"Sykkylven";"Slåttemark";"2018-2024";0.63;"Yellow"
"ENCACC_002";"15";"1531";"Sula";"Naturbeitemark";"2018-2024";0.41;"Yellow"
"ENCACC_002";"15";"1531";"Sula";"Semi-naturlig eng";"2018-2024";0.16;"Yellow"
"ENCACC_002";"15";"1532";"Giske";"Kystlynghei";"2018-2024";1.12;"Yellow"
"ENCACC_002";"15";"1532";"Giske";"Slåttemark";"2018-2024";0.14;"Yellow"
"ENCACC_002";"15";"1532";"Giske";"Strandeng";"2018-2024";0.24;"Yellow"
"ENCACC_002";"15";"1535";"Vestnes";"Naturbeitemark";"2018-2024";0.97;"Yellow"
"ENCACC_002";"15";"1535";"Vestnes";"Semi-naturlig myr";"2018-2024";3.05;"Yellow"
"ENCACC_002";"15";"1535";"Vestnes";"Slåttemark";"2018-2024";0.42;"Yellow"
"ENCACC_002";"15";"1539";"Rauma";"Boreal hei";"2018-2024";5.16;"Yellow"
"ENCACC_002";"15";"1539";"Rauma";"Frisk lågurtedellauvskog";"2018-2024";0.14;"Yellow"
"ENCACC_002";"15";"1539";"Rauma";"Høgstaude-edellauvskog";"2018-2024";0.12;"Yellow"
"ENCACC_002";"15";"1539";"Rauma";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.25;"Yellow"
"ENCACC_002";"15";"1539";"Rauma";"Rik edellauvskog";"2018-2024";10.3;"Yellow"
"ENCACC_002";"15";"1547";"Aukra";"Eng-aktig sterkt endret fastmark";"2018-2024";0.25;"Yellow"
