"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_002";"32";"Akershus";"2019";890.84;1469.16;"Yellow";"Yellow"
"ENCREC_002";"32";"Akershus";"2020";1141.98;2611.14;"Yellow";"Yellow"
"ENCREC_002";"32";"Akershus";"2021";1532.64;4143.78;"Yellow";"Yellow"
"ENCREC_002";"32";"Akershus";"2022";878.91;5022.69;"Yellow";"Yellow"
"ENCREC_002";"32";"Akershus";"2023";842.57;5865.26;"Yellow";"Yellow"
"ENCREC_002";"32";"Akershus";"2024";320.25;6185.51;"Orange";"Yellow"
"ENCREC_002";"32";"Akershus";"Endring 2018-2024";NA;5607.19;"NA";"Yellow"
"ENCREC_002";"33";"Buskerud";"2018";1138.04;1138.04;"Yellow";"Yellow"
"ENCREC_002";"33";"Buskerud";"2019";1526.56;2664.6;"Yellow";"Yellow"
"ENCREC_002";"33";"Buskerud";"2020";2570.35;5234.95;"Yellow";"Yellow"
"ENCREC_002";"33";"Buskerud";"2021";4491.4;9726.35;"Yellow";"Yellow"
"ENCREC_002";"33";"Buskerud";"2022";3093.53;12819.88;"Yellow";"Yellow"
"ENCREC_002";"33";"Buskerud";"2023";1675.09;14494.97;"Yellow";"Yellow"
"ENCREC_002";"33";"Buskerud";"2024";1615.07;16110.04;"Orange";"Yellow"
"ENCREC_002";"33";"Buskerud";"Endring 2018-2024";NA;14972;"NA";"Yellow"
"ENCREC_002";"34";"Innlandet";"2018";1066.6;1066.6;"Yellow";"Yellow"
"ENCREC_002";"34";"Innlandet";"2019";1522.56;2589.16;"Yellow";"Yellow"
"ENCREC_002";"34";"Innlandet";"2020";1883.13;4472.29;"Yellow";"Yellow"
"ENCREC_002";"34";"Innlandet";"2021";3127.82;7600.11;"Yellow";"Yellow"
"ENCREC_002";"34";"Innlandet";"2022";2312.41;9912.52;"Yellow";"Yellow"
"ENCREC_002";"34";"Innlandet";"2023";2038.54;11951.06;"Yellow";"Yellow"
"ENCREC_002";"34";"Innlandet";"2024";1274.78;13225.84;"Orange";"Yellow"
"ENCREC_002";"34";"Innlandet";"Endring 2018-2024";NA;12159.24;"NA";"Yellow"
"ENCREC_002";"39";"Vestfold";"2018";270.5;270.5;"Yellow";"Yellow"
"ENCREC_002";"39";"Vestfold";"2019";341.93;612.43;"Yellow";"Yellow"
"ENCREC_002";"39";"Vestfold";"2020";620.82;1233.25;"Yellow";"Yellow"
"ENCREC_002";"39";"Vestfold";"2021";801.92;2035.17;"Yellow";"Yellow"
"ENCREC_002";"39";"Vestfold";"2022";637.32;2672.49;"Yellow";"Yellow"
"ENCREC_002";"39";"Vestfold";"2023";519.58;3192.07;"Yellow";"Yellow"
"ENCREC_002";"39";"Vestfold";"2024";183.43;3375.5;"Yellow";"Yellow"
"ENCREC_002";"39";"Vestfold";"Endring 2018-2024";NA;3105;"NA";"Yellow"
"ENCREC_002";"40";"Telemark";"2018";193.31;193.31;"Yellow";"Yellow"
"ENCREC_002";"40";"Telemark";"2019";229.45;422.76;"Yellow";"Yellow"
"ENCREC_002";"40";"Telemark";"2020";479.45;902.21;"Yellow";"Yellow"
"ENCREC_002";"40";"Telemark";"2021";675.9;1578.11;"Yellow";"Yellow"
"ENCREC_002";"40";"Telemark";"2022";635.42;2213.53;"Yellow";"Yellow"
"ENCREC_002";"40";"Telemark";"2023";466.87;2680.4;"Green";"Yellow"
"ENCREC_002";"40";"Telemark";"2024";915.32;3595.72;"Yellow";"Yellow"
"ENCREC_002";"40";"Telemark";"Endring 2018-2024";NA;3402.41;"NA";"Yellow"
"ENCREC_002";"42";"Agder";"2018";312.96;312.96;"Yellow";"Yellow"
"ENCREC_002";"42";"Agder";"2019";491.43;804.39;"Yellow";"Yellow"
"ENCREC_002";"42";"Agder";"2020";720.07;1524.46;"Yellow";"Yellow"
"ENCREC_002";"42";"Agder";"2021";556.28;2080.74;"Yellow";"Yellow"
"ENCREC_002";"42";"Agder";"2022";723.35;2804.09;"Yellow";"Yellow"
"ENCREC_002";"42";"Agder";"2023";363.02;3167.11;"Yellow";"Yellow"
"ENCREC_002";"42";"Agder";"2024";239.51;3406.62;"Orange";"Yellow"
"ENCREC_002";"42";"Agder";"Endring 2018-2024";NA;3093.66;"NA";"Yellow"
"ENCREC_002";"46";"Vestland";"2018";456.28;456.28;"Yellow";"Yellow"
