"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_003";"15";"1547";"Aukra";"2020";22084.33;22083.76;"Yellow";"Yellow"
"ENCREC_003";"15";"1547";"Aukra";"2021";22080.29;22076.48;"Yellow";"Yellow"
"ENCREC_003";"15";"1547";"Aukra";"2022";22082.36;22071.27;"Yellow";"Yellow"
"ENCREC_003";"15";"1547";"Aukra";"2023";22071.4;22055.1;"Green";"Yellow"
"ENCREC_003";"15";"1547";"Aukra";"2024";22087.34;22054.87;"Yellow";"Yellow"
"ENCREC_003";"15";"1547";"Aukra";"Endring 2018-2024";NA;-32.1500000000015;"NA";"Yellow"
"ENCREC_003";"15";"1563";"Sunndal";"2018";1406153.6;1406153.6;"Yellow";"Yellow"
"ENCREC_003";"15";"1563";"Sunndal";"2019";1406148.53;1406148.53;"Yellow";"Yellow"
"ENCREC_003";"15";"1563";"Sunndal";"2020";1406135.72;1406130.65;"Yellow";"Yellow"
"ENCREC_003";"15";"1563";"Sunndal";"2021";1406132.45;1406109.5;"Yellow";"Yellow"
"ENCREC_003";"15";"1563";"Sunndal";"2022";1406147.66;1406103.56;"Yellow";"Yellow"
"ENCREC_003";"15";"1563";"Sunndal";"2023";1406142.31;1406092.27;"Yellow";"Yellow"
"ENCREC_003";"15";"1563";"Sunndal";"2024";1406140.92;1406079.59;"Yellow";"Yellow"
"ENCREC_003";"15";"1563";"Sunndal";"Endring 2018-2024";NA;-74.0100000000093;"NA";"Yellow"
"ENCREC_003";"15";"1566";"Surnadal";"2018";568803.49;568803.49;"Yellow";"Yellow"
"ENCREC_003";"15";"1566";"Surnadal";"2019";568794.78;568791.06;"Yellow";"Yellow"
"ENCREC_003";"15";"1566";"Surnadal";"2020";568800.56;568784.41;"Yellow";"Yellow"
"ENCREC_003";"15";"1566";"Surnadal";"2021";568793.21;568770.41;"Yellow";"Yellow"
"ENCREC_003";"15";"1566";"Surnadal";"2022";568778.64;568741.84;"Yellow";"Yellow"
"ENCREC_003";"15";"1566";"Surnadal";"2023";568788.18;568722.81;"Yellow";"Yellow"
"ENCREC_003";"15";"1566";"Surnadal";"2024";568803.39;568718.99;"Orange";"Yellow"
"ENCREC_003";"15";"1566";"Surnadal";"Endring 2018-2024";NA;-84.5;"NA";"Yellow"
"ENCREC_003";"15";"1577";"Volda";"2018";32917.69;32917.69;"Yellow";"Yellow"
