"Indikatorens navn";"Fylke nummer";"Fylke navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"34";"Innlandet";"Slåttemark";"2018-2024";0.28;"Yellow"
"ENCREC_005";"34";"Innlandet";"Tørkeutsatt kalkgranskog";"2018-2024";1.67;"Yellow"
"ENCREC_005";"34";"Innlandet";"Viktig bekkedrag";"2018-2024";0.28;"Orange"
"ENCREC_005";"34";"Innlandet";"Åpen flommark";"2018-2024";0.04;"Yellow"
"ENCREC_005";"39";"Vestfold";"Dam";"2018-2024";0.05;"Orange"
"ENCREC_005";"39";"Vestfold";"Flomskogsmark";"2018-2024";0.15;"Yellow"
"ENCREC_005";"39";"Vestfold";"Frisk lågurtbøkeskog";"2018-2024";0.92;"Yellow"
"ENCREC_005";"39";"Vestfold";"Frisk lågurtedellauvskog";"2018-2024";8.84;"Yellow"
"ENCREC_005";"39";"Vestfold";"Frisk lågurtfuruskog";"2018-2024";0.16;"Yellow"
"ENCREC_005";"39";"Vestfold";"Frisk rik edellauvskog";"2018-2024";3.88;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel fattig edellauvskog";"2018-2024";8.37;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel furuskog med gamle trær";"2018-2024";0.01;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel furuskog med stående død ved";"2018-2024";0.17;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel høgstaudegråorskog";"2018-2024";0.13;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel lågurtospeskog";"2018-2024";0.54;"Yellow"
"ENCREC_005";"39";"Vestfold";"Hagemark";"2018-2024";5.35;"Yellow"
"ENCREC_005";"39";"Vestfold";"Hule eiker";"2018-2024";8.35;"Yellow"
"ENCREC_005";"39";"Vestfold";"Kilde-edellauvskog";"2018-2024";1.35;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurtalm-lind-hasselskog";"2018-2024";0.06;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurtbøkeskog";"2018-2024";7.35;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurtedellauvskog";"2018-2024";4.54;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurteikeskog";"2018-2024";8.07;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurtfuruskog";"2018-2024";2.12;"Yellow"
"ENCREC_005";"39";"Vestfold";"Naturbeitemark";"2018-2024";2.24;"Yellow"
"ENCREC_005";"39";"Vestfold";"Parklandskap";"2018-2024";0.04;"Yellow"
"ENCREC_005";"39";"Vestfold";"Rik sump- og kildeskog";"2018-2024";0.5;"Yellow"
"ENCREC_005";"39";"Vestfold";"Rik svartorstrandskog";"2018-2024";0.09;"Yellow"
"ENCREC_005";"39";"Vestfold";"Rik svartorsumpskog";"2018-2024";0.7;"Yellow"
"ENCREC_005";"39";"Vestfold";"Saltpåvirket svartorstrandskog";"2018-2024";0.69;"Yellow"
"ENCREC_005";"39";"Vestfold";"Sanddynemark";"2018-2024";1.04;"Yellow"
"ENCREC_005";"39";"Vestfold";"Semi-naturlig eng";"2018-2024";0.97;"Yellow"
"ENCREC_005";"39";"Vestfold";"Semi-naturlig strandeng";"2018-2024";0.08;"Yellow"
"ENCREC_005";"39";"Vestfold";"Slåttemark";"2018-2024";1.36;"Yellow"
"ENCREC_005";"39";"Vestfold";"Store gamle trær";"2018-2024";5.58;"Yellow"
"ENCREC_005";"39";"Vestfold";"Strandeng";"2018-2024";0.08;"Yellow"
"ENCREC_005";"39";"Vestfold";"Sørlig etablert sanddynemark";"2018-2024";0.03;"Yellow"
"ENCREC_005";"39";"Vestfold";"Viktig bekkedrag";"2018-2024";2.04;"Yellow"
"ENCREC_005";"40";"Telemark";"Boreal hei";"2018-2024";0.11;"Yellow"
"ENCREC_005";"40";"Telemark";"Eng-aktig sterkt endret fastmark";"2018-2024";4.33;"Yellow"
"ENCREC_005";"40";"Telemark";"Flommarksskog";"2018-2024";2.96;"Yellow"
"ENCREC_005";"40";"Telemark";"Flomskogsmark";"2018-2024";1.24;"Yellow"
"ENCREC_005";"40";"Telemark";"Frisk lågurtedellauvskog";"2018-2024";9.94;"Yellow"
"ENCREC_005";"40";"Telemark";"Gammel fattig edellauvskog";"2018-2024";0.85;"Yellow"
"ENCREC_005";"40";"Telemark";"Hule eiker";"2018-2024";10.88;"Yellow"
"ENCREC_005";"40";"Telemark";"Kalk- og lågurtfuruskog";"2018-2024";1.38;"Yellow"
"ENCREC_005";"40";"Telemark";"Kalkbarskog";"2018-2024";14.77;"Yellow"
"ENCREC_005";"40";"Telemark";"Kalkedellauvskog";"2018-2024";15.28;"Yellow"
"ENCREC_005";"40";"Telemark";"Kalkfuruskog";"2018-2024";0.24;"Yellow"
"ENCREC_005";"40";"Telemark";"Kalkhasselskog";"2018-2024";1.04;"Yellow"
"ENCREC_005";"40";"Telemark";"Kalklindeskog";"2018-2024";0.09;"Yellow"
"ENCREC_005";"40";"Telemark";"Kalkrik helofyttsump";"2018-2024";0.03;"Yellow"
"ENCREC_005";"40";"Telemark";"Kalkskog";"2018-2024";2.77;"Yellow"
"ENCREC_005";"40";"Telemark";"Lågurtalm-lind-hasselskog";"2018-2024";0.15;"Yellow"
"ENCREC_005";"40";"Telemark";"Lågurtedellauvskog";"2018-2024";2.75;"Yellow"
"ENCREC_005";"40";"Telemark";"Lågurtfuruskog";"2018-2024";2.99;"Yellow"
"ENCREC_005";"40";"Telemark";"Middels kalkrik innsjø (Klar intermediær innsjø)";"2018-2024";0.35;"Yellow"
"ENCREC_005";"40";"Telemark";"Nakent tørkeutsatt kalkberg";"2018-2024";0;"Yellow"
"ENCREC_005";"40";"Telemark";"Naturbeitemark";"2018-2024";6.71;"Orange"
"ENCREC_005";"40";"Telemark";"Parklandskap";"2018-2024";0.69;"Yellow"
"ENCREC_005";"40";"Telemark";"Ravinedal";"2018-2024";0.37;"Yellow"
"ENCREC_005";"40";"Telemark";"Rik edellauvskog";"2018-2024";0.91;"Yellow"
"ENCREC_005";"40";"Telemark";"Rik sandfuruskog";"2018-2024";1.43;"Yellow"
"ENCREC_005";"40";"Telemark";"Slåttemark";"2018-2024";0.18;"Yellow"
"ENCREC_005";"40";"Telemark";"Store gamle trær";"2018-2024";12.65;"Orange"
"ENCREC_005";"40";"Telemark";"Svært tørkeutsatt sørlig kalkberg";"2018-2024";0.99;"Yellow"
"ENCREC_005";"40";"Telemark";"Åpen grunnlendt kalkmark i boreonemoral sone";"2018-2024";0.4;"Yellow"
"ENCREC_005";"40";"Telemark";"Åpen kalkmark";"2018-2024";0.9;"Yellow"
"ENCREC_005";"42";"Agder";"Eng-aktig sterkt endret fastmark";"2018-2024";0.06;"Yellow"
"ENCREC_005";"42";"Agder";"Frisk lågurtedellauvskog";"2018-2024";0.21;"Yellow"
"ENCREC_005";"42";"Agder";"Frisk rik edellauvskog";"2018-2024";0.28;"Yellow"
"ENCREC_005";"42";"Agder";"Gammel fattig edellauvskog";"2018-2024";3.34;"Yellow"
"ENCREC_005";"42";"Agder";"Gammel furuskog med gamle trær";"2018-2024";0.55;"Yellow"
"ENCREC_005";"42";"Agder";"Hagemark";"2018-2024";0.21;"Yellow"
"ENCREC_005";"42";"Agder";"Hule eiker";"2018-2024";2.09;"Yellow"
"ENCREC_005";"42";"Agder";"Kystlynghei";"2018-2024";15.29;"Yellow"
"ENCREC_005";"42";"Agder";"Lågurtalm-lind-hasselskog";"2018-2024";0.22;"Yellow"
"ENCREC_005";"42";"Agder";"Lågurtedellauvskog";"2018-2024";1.45;"Yellow"
"ENCREC_005";"42";"Agder";"Lågurteikeskog";"2018-2024";3.9;"Yellow"
"ENCREC_005";"42";"Agder";"Lågurtfuruskog";"2018-2024";1.15;"Yellow"
"ENCREC_005";"42";"Agder";"Naturbeitemark";"2018-2024";2.82;"Yellow"
"ENCREC_005";"42";"Agder";"Parklandskap";"2018-2024";0.81;"Yellow"
"ENCREC_005";"42";"Agder";"Rik sump- og kildeskog";"2018-2024";0.16;"Yellow"
"ENCREC_005";"42";"Agder";"Rik svartorsumpskog";"2018-2024";3.69;"Yellow"
"ENCREC_005";"42";"Agder";"Sanddynemark";"2018-2024";1.91;"Yellow"
"ENCREC_005";"42";"Agder";"Semi-naturlig eng";"2018-2024";0.14;"Yellow"
"ENCREC_005";"42";"Agder";"Slåttemark";"2018-2024";0.01;"Yellow"
"ENCREC_005";"42";"Agder";"Strandeng";"2018-2024";0.44;"Yellow"
"ENCREC_005";"42";"Agder";"Strandeng og strandsump";"2018-2024";0.42;"Yellow"
"ENCREC_005";"46";"Vestland";"Boreal hei";"2018-2024";3.49;"Yellow"
"ENCREC_005";"46";"Vestland";"Elveslette";"2018-2024";0.09;"Yellow"
"ENCREC_005";"46";"Vestland";"Eng-aktig sterkt endret fastmark";"2018-2024";0.58;"Yellow"
"ENCREC_005";"46";"Vestland";"Flomskogsmark";"2018-2024";0.25;"Yellow"
"ENCREC_005";"46";"Vestland";"Frisk lågurtedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"46";"Vestland";"Gammel barskog";"2018-2024";0.6;"Yellow"
